iter	MultiClass
0	0.8455753822
1	0.7036572546
2	0.6257174262
3	0.5681696776
4	0.5317904366
5	0.5086323208
6	0.4919069658
7	0.4784668345
8	0.4704470773
9	0.4643070736
10	0.4577436409
11	0.4544402037
12	0.4503190369
13	0.446758784
14	0.4444487511
15	0.442511587
16	0.4397413132
17	0.4388137948
18	0.4372409767
19	0.4362033798
20	0.4352964659
21	0.4317587775
22	0.4303713311
23	0.4294823506
24	0.4285674207
25	0.4273041666
26	0.4252364008
27	0.4237003163
28	0.4231274336
29	0.4226425105
30	0.4215227062
31	0.4207271236
32	0.4201962606
33	0.4195374566
34	0.4191391385
35	0.4185782322
36	0.4179844137
37	0.4175358591
38	0.4172692148
39	0.4166020606
40	0.4163680813
41	0.4155724829
42	0.4151926669
43	0.4148150946
44	0.4144224087
45	0.4140800383
46	0.4138049113
47	0.4134795539
48	0.4131923762
49	0.4130555607
50	0.4128794551
51	0.4127541122
52	0.4125791824
53	0.4123259093
54	0.4120884212
55	0.4117359549
56	0.4112316668
57	0.4109594692
58	0.4107153112
59	0.4104285579
60	0.4103184855
61	0.410187513
62	0.4101179781
63	0.4097594792
64	0.4096885562
65	0.4093975825
66	0.4093000654
67	0.4090951793
68	0.4089256111
69	0.4089177729
70	0.4087698257
71	0.408706207
72	0.408537789
73	0.4082438448
74	0.4078549593
75	0.4077618563
76	0.4077026862
77	0.4076019349
78	0.4074192881
79	0.4072971605
80	0.4070626882
81	0.4068860423
82	0.4067802198
83	0.406688687
84	0.4065994448
85	0.4065355439
86	0.4062855835
87	0.4062778552
88	0.4061532347
89	0.4060559167
90	0.4059149824
91	0.4058654944
92	0.4058194462
93	0.4057274274
94	0.4056272495
95	0.4056086706
96	0.4054854821
97	0.4053631342
98	0.4052309347
99	0.4052236976
100	0.4051664603
101	0.4049855847
102	0.4049414864
103	0.4048980953
104	0.404679582
105	0.4046385988
106	0.4045191565
107	0.4043589907
108	0.4043330671
109	0.4042680122
110	0.4041827506
111	0.4041036017
112	0.404051851
113	0.4039237053
114	0.4038184671
115	0.4037089062
116	0.4035847487
117	0.4035248894
118	0.4034946766
119	0.403127532
120	0.4030715194
121	0.4030644023
122	0.402763807
123	0.4026225343
124	0.4025175545
125	0.4024207067
126	0.4023541868
127	0.4022619257
128	0.4022006302
129	0.4021221122
130	0.4020222053
131	0.401905415
132	0.4018231316
133	0.4017059968
134	0.4016768772
135	0.4015794368
136	0.4014343801
137	0.4013950344
138	0.4013649905
139	0.4012644036
140	0.4012588152
141	0.4011226848
142	0.4010553429
143	0.4009364102
144	0.4007653388
145	0.4007199613
146	0.4007010904
147	0.4006358181
148	0.4005919176
149	0.4005117708
150	0.4004771343
151	0.4004038306
152	0.4002895257
153	0.4002531224
154	0.400218885
155	0.4001804663
156	0.4001702212
157	0.4001131823
158	0.4000338645
159	0.3999406199
160	0.3998947388
161	0.3997907732
162	0.3996411134
163	0.3996074935
164	0.3995602289
165	0.3995227926
166	0.3994706805
167	0.3993726942
168	0.399355827
169	0.3992966307
170	0.3992082656
171	0.3991387422
