iter	Passed	Remaining
0	2	2129
1	4	2359
2	7	2378
3	9	2392
4	11	2314
5	13	2277
6	15	2220
7	17	2188
8	19	2199
9	22	2221
10	24	2204
11	26	2206
12	29	2239
13	31	2233
14	34	2269
15	36	2268
16	39	2266
17	41	2269
18	43	2261
19	45	2242
20	47	2230
21	50	2233
22	52	2225
23	54	2223
24	56	2222
25	59	2215
26	60	2197
27	62	2186
28	64	2175
29	67	2184
30	69	2184
31	72	2183
32	74	2175
33	76	2181
34	78	2175
35	80	2165
36	83	2166
37	85	2161
38	87	2152
39	89	2143
40	91	2137
41	93	2127
42	95	2120
43	97	2114
44	99	2114
45	101	2110
46	103	2103
47	105	2096
48	107	2088
49	109	2079
50	111	2072
51	113	2071
52	116	2073
53	118	2068
54	120	2063
55	122	2059
56	124	2056
57	126	2052
58	128	2052
59	131	2055
60	133	2050
61	134	2035
62	135	2020
63	137	2007
64	138	1994
65	140	1991
66	164	2292
67	166	2279
68	167	2264
69	169	2247
70	170	2235
71	172	2224
72	174	2210
73	175	2198
74	177	2187
75	179	2182
76	181	2175
77	183	2167
78	184	2154
79	186	2147
80	188	2140
81	190	2131
82	192	2124
83	194	2118
84	196	2116
85	198	2111
86	200	2102
87	202	2096
88	204	2091
89	206	2083
90	207	2075
91	209	2069
92	211	2063
93	213	2056
94	215	2048
95	216	2042
96	218	2038
97	220	2032
98	222	2024
99	224	2020
100	226	2014
101	228	2009
102	230	2005
103	232	2001
104	234	1995
105	235	1985
106	236	1977
107	238	1973
108	240	1969
109	242	1965
110	244	1961
111	246	1953
112	247	1943
113	248	1933
114	249	1923
115	251	1915
116	252	1905
117	253	1897
118	255	1890
119	257	1887
120	259	1885
121	261	1882
122	263	1877
123	264	1869
124	265	1861
125	267	1853
126	268	1845
127	269	1837
128	271	1834
129	273	1831
130	275	1826
131	277	1822
132	281	1838
133	283	1831
134	284	1824
135	286	1818
136	288	1815
137	290	1813
138	291	1806
139	292	1799
140	294	1792
141	295	1786
142	296	1779
143	298	1772
144	299	1767
145	301	1764
146	303	1762
147	305	1760
148	308	1760
149	310	1757
150	311	1751
151	313	1747
152	315	1747
153	316	1741
154	318	1738
155	320	1736
156	323	1734
157	324	1731
158	326	1727
159	328	1725
160	330	1724
161	332	1720
162	335	1720
163	337	1720
164	339	1717
165	340	1711
166	341	1705
167	343	1701
168	345	1697
169	346	1693
170	348	1687
171	349	1684
172	352	1684
173	354	1682
174	355	1677
175	357	1671
176	358	1666
177	360	1663
178	362	1661
179	363	1658
180	366	1656
181	368	1654
182	369	1651
183	371	1648
184	373	1645
185	375	1643
186	377	1639
187	379	1637
188	381	1636
189	384	1637
190	386	1637
191	388	1636
192	391	1634
193	393	1633
194	395	1632
195	397	1632
196	400	1632
197	402	1629
198	403	1624
199	405	1621
200	406	1617
201	408	1613
202	409	1609
203	411	1605
204	413	1603
205	415	1601
206	417	1597
207	418	1594
208	420	1591
209	422	1588
210	423	1583
211	424	1578
212	426	1575
213	428	1574
214	430	1572
215	432	1570
216	434	1568
217	436	1567
218	438	1565
219	440	1562
220	442	1560
221	444	1558
222	446	1555
223	448	1553
224	450	1551
225	452	1550
226	454	1547
227	456	1544
228	457	1541
229	460	1540
230	462	1538
231	463	1535
232	465	1533
233	467	1530
234	469	1528
235	471	1525
236	473	1523
237	475	1522
238	477	1519
239	479	1518
240	481	1516
241	483	1513
242	485	1511
243	487	1509
244	489	1507
245	491	1506
246	494	1506
247	496	1505
248	498	1503
249	500	1500
250	502	1498
251	503	1495
252	505	1493
253	508	1492
254	511	1493
255	513	1491
256	515	1490
257	517	1488
258	519	1487
259	521	1485
260	524	1484
261	527	1486
262	529	1484
263	532	1483
264	534	1481
265	536	1479
266	538	1478
267	541	1477
268	543	1477
269	545	1475
270	547	1473
271	553	1480
272	556	1480
273	559	1481
274	561	1479
275	563	1477
276	565	1475
277	567	1473
278	569	1471
279	572	1471
280	574	1469
281	576	1467
282	578	1465
283	580	1462
284	582	1460
285	584	1458
286	586	1456
287	588	1454
288	590	1451
289	591	1448
290	593	1446
291	595	1444
292	597	1442
293	599	1440
294	602	1438
295	604	1436
296	605	1434
297	607	1431
298	609	1429
299	611	1427
300	613	1423
301	614	1421
302	616	1419
303	618	1416
304	620	1414
305	622	1411
306	624	1409
307	626	1407
308	628	1404
309	629	1401
310	631	1399
311	633	1397
312	635	1395
313	637	1392
314	639	1389
315	640	1387
316	642	1384
317	644	1382
318	646	1380
319	648	1378
320	650	1376
321	653	1376
322	656	1375
323	658	1373
324	661	1373
325	664	1374
326	667	1374
327	670	1372
328	672	1371
329	674	1369
330	676	1367
331	678	1365
332	681	1364
333	683	1362
334	685	1360
335	687	1358
336	689	1356
337	691	1355
338	694	1353
339	696	1352
340	699	1351
341	701	1349
342	703	1347
343	705	1344
344	707	1342
345	709	1340
346	711	1338
347	713	1335
348	715	1334
349	716	1331
350	718	1327
351	719	1324
352	721	1322
353	723	1319
354	724	1316
355	726	1313
356	729	1313
357	730	1310
358	732	1307
359	733	1304
360	734	1300
361	736	1298
362	738	1296
363	740	1293
364	742	1290
365	743	1288
366	745	1286
367	747	1283
368	748	1279
369	750	1277
370	751	1274
371	752	1270
372	754	1267
373	755	1264
374	756	1261
375	758	1259
376	760	1257
377	762	1255
378	764	1253
379	766	1249
380	767	1246
381	768	1243
382	769	1240
383	771	1237
384	773	1235
385	775	1233
386	777	1231
387	779	1229
388	781	1227
389	783	1225
390	784	1222
391	785	1219
392	787	1217
393	790	1215
394	792	1213
395	794	1211
396	795	1208
397	797	1206
398	798	1203
399	800	1200
400	801	1197
401	803	1194
402	805	1192
403	806	1190
404	808	1187
405	809	1185
406	811	1182
407	813	1180
408	815	1178
409	816	1175
410	818	1172
411	819	1169
412	821	1167
413	823	1165
414	824	1162
415	826	1159
416	827	1156
417	828	1153
418	830	1151
419	831	1148
420	833	1146
421	835	1144
422	837	1142
423	839	1140
424	840	1137
425	842	1134
426	843	1132
427	845	1130
428	847	1128
429	848	1125
430	850	1122
431	852	1120
432	854	1118
433	856	1116
434	857	1113
435	859	1111
436	860	1108
437	862	1106
438	863	1103
439	864	1100
440	866	1097
441	868	1096
442	870	1094
443	871	1091
444	873	1089
445	875	1086
446	876	1084
447	877	1081
448	879	1078
449	880	1075
450	881	1073
451	883	1071
452	885	1069
453	887	1066
454	888	1064
455	890	1061
456	891	1059
457	892	1056
458	894	1053
459	895	1051
460	896	1048
